City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Atuona,PF,2019-11-10 23:02:41,-9.8,-139.03,79.99,68,4,9.98,clear sky,0,0
1,Bathsheba,BB,2019-11-10 23:02:41,13.22,-59.52,80.6,69,20,16.11,few clouds,0,0
2,Hithadhoo,MV,2019-11-10 23:02:41,-0.6,73.08,82.67,71,90,7.85,overcast clouds,0,0
3,Saskylakh,RU,2019-11-10 23:02:41,71.97,114.09,-9.12,95,100,1.99,overcast clouds,0,0
4,Sangar,RU,2019-11-10 23:02:42,63.92,127.47,-4.46,96,100,11.25,overcast clouds,0,0
5,Bluff,AU,2019-11-10 22:59:44,-23.58,149.07,84.58,14,48,9.82,scattered clouds,0,0
6,Khatanga,RU,2019-11-10 23:02:42,71.98,102.47,-2.3,97,100,8.99,light snow,0,0.31
7,Roald,NO,2019-11-10 23:02:42,62.58,6.12,26.6,79,0,9.17,clear sky,0,0
8,Rikitea,PF,2019-11-10 23:00:38,-23.12,-134.97,74.41,81,99,11.34,overcast clouds,0,0
9,Mataura,NZ,2019-11-10 23:02:43,-46.19,168.86,52.0,60,100,10.0,light rain,0.31,0
10,Ucluelet,CA,2019-11-10 23:02:43,48.94,-125.55,54.0,93,75,2.95,fog,0,0
11,Cape Town,ZA,2019-11-10 22:58:36,-33.93,18.42,66.99,77,21,6.93,light rain,0,0
12,Oussouye,SN,2019-11-10 23:02:43,12.49,-16.54,77.0,88,94,4.7,overcast clouds,0,0
13,Aklavik,CA,2019-11-10 23:02:43,68.22,-135.01,15.8,43,5,6.93,clear sky,0,0
14,Poum,MK,2019-11-10 23:02:44,41.28,20.71,41.0,85,50,1.16,scattered clouds,0,0
15,San Vicente,EC,2019-11-10 23:02:44,-0.59,-80.41,77.0,83,75,12.75,broken clouds,0,0
16,Puerto Ayora,EC,2019-11-10 23:00:38,-0.74,-90.35,77.0,65,40,9.17,scattered clouds,0,0
17,Ambad,IN,2019-11-10 23:02:44,19.61,75.79,67.5,76,0,3.89,clear sky,0,0
18,Tuktoyaktuk,CA,2019-11-10 22:59:54,69.44,-133.03,10.4,78,5,8.05,clear sky,0,0
19,Kaitangata,NZ,2019-11-10 23:02:45,-46.28,169.85,50.0,59,100,11.01,overcast clouds,0,0
20,Harper,US,2019-11-10 23:02:45,30.3,-99.24,64.4,68,90,12.75,overcast clouds,0,0
21,Arraial Do Cabo,BR,2019-11-10 23:02:45,-22.97,-42.02,77.0,88,75,11.41,light intensity drizzle,0,0
22,Los Llanos De Aridane,ES,2019-11-10 23:02:45,28.66,-17.92,69.8,73,20,18.34,few clouds,0,0
23,Yellowknife,CA,2019-11-10 23:02:45,62.45,-114.38,10.4,72,75,5.82,broken clouds,0,0
24,Jacareacanga,BR,2019-11-10 23:02:46,-6.22,-57.76,75.88,90,92,1.12,light rain,2.75,0
25,Flinders,AU,2019-11-10 23:02:46,-34.58,150.85,72.0,42,67,9.17,broken clouds,0,0
26,Saint-Joseph,FR,2019-11-10 23:02:46,43.56,6.97,57.2,87,100,3.36,light rain,0,0
27,Ust-Maya,RU,2019-11-10 23:02:46,60.42,134.54,-16.25,94,0,0.51,clear sky,0,0
